CensusTract,County,Borough,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Citizen,Income,IMPUTED
36047078602,Kings,Brooklyn,3525,1556,1969,4.6,6.2,80.8,0.0,6.5,2189,67314.70428614339,True
36047078801,Kings,Brooklyn,3868,1699,2169,10.0,10.7,74.2,0.0,2.7,2183,51714.57021420047,True
36047078802,Kings,Brooklyn,4420,1876,2543,5.9,1.4,88.5,0.0,2.1,2484,58099.669850339305,True
36047079001,Kings,Brooklyn,4118,1681,2437,13.2,5.8,76.7,0.0,2.9,2314,41525.95188147232,True
36047079002,Kings,Brooklyn,3969,1668,2301,13.0,5.6,77.0,0.0,3.2,2246,44135.97513410234,True
36047079201,Kings,Brooklyn,4143,1805,2339,14.5,7.6,74.9,0.1,1.2,2428,43195.96879768685,True
36047079202,Kings,Brooklyn,3633,1653,1980,9.1,3.2,85.1,0.1,1.1,2112,45206.673511060115,True
36047085200,Kings,Brooklyn,1970,915,1055,5.4,1.4,90.1,0.0,1.2,1285,54836.56116933945,True
36047088001,Kings,Brooklyn,3511,1547,1964,7.1,9.6,79.9,0.0,1.2,2170,38562.926397962285,True
36047088002,Kings,Brooklyn,4790,2166,2625,5.3,3.2,88.8,0.0,1.2,2922,41467.185338268624,True
36047102801,Kings,Brooklyn,2126,981,1145,5.3,6.1,78.4,0.0,9.7,1359,68663.15490629063,True
36047103401,Kings,Brooklyn,2080,966,1114,3.6,6.2,81.4,0.0,7.9,1343,71878.24928812859,True
36047107003,Kings,Brooklyn,5716,2344,3372,18.6,17.9,60.3,0.3,1.1,4283,31208.382065579597,True
36047118000,Kings,Brooklyn,3211,1524,1687,73.3,4.1,16.2,0.0,4.6,1637,40875.95028014423,True
36047120801,Kings,Brooklyn,3350,1466,1884,36.7,3.2,50.1,0.1,8.4,1945,27215.924907683533,True
36047120802,Kings,Brooklyn,3221,1473,1747,30.7,3.9,51.9,0.1,11.6,1751,31942.88042852659,True
36047120803,Kings,Brooklyn,3145,1458,1688,30.6,5.9,39.2,0.1,21.6,1790,38263.86717093436,True
36081048302,Queens,Queens,3982,2184,1798,39.6,10.4,0.8,0.3,47.1,1638,54439.455597878456,True
36047107002,Kings,Brooklyn,5618,2400,3217,17.8,14.0,63.9,0.3,1.6,4074,38342.65999033928,True
36005003700,Bronx,Bronx,4049,1973,2076,68.3,1.3,29.2,0.5,0.0,2033,20882.22673497604,True
36061015102,New York,Manhattan,5624,2642,2982,9.3,67.4,3.5,0.0,16.0,4260,130036.66058451106,True
36061008602,New York,Manhattan,6518,3044,3475,6.8,71.6,1.6,0.0,17.2,5038,121248.57261138232,True
36081089201,Queens,Queens,6271,2910,3360,30.3,58.8,4.1,0.0,4.9,4561,68330.42531287024,True
36085005901,Richmond,Staten Island,2946,1487,1459,17.2,67.4,7.7,0.2,5.6,2223,84585.31459004158,True
36085029106,Richmond,Staten Island,4713,2239,2474,12.5,64.2,6.5,0.0,14.3,3336,82600.76225137521,True
36061012901,New York,Manhattan,4367,2318,2050,22.2,49.4,8.2,0.1,18.1,3133,96387.5319501877,True
36047050001,Kings,Brooklyn,3424,1639,1786,15.7,57.8,2.3,0.1,19.3,2371,74138.12424414657,True
36081030905,Queens,Queens,4682,2394,2288,38.8,22.7,1.1,0.0,35.7,2526,50153.71456219807,True
36047070601,Kings,Brooklyn,3781,1837,1944,8.8,79.8,7.1,0.0,3.9,2744,71325.33726033213,True
36085017016,Richmond,Staten Island,4930,2468,2462,12.5,77.4,2.3,0.0,6.2,3564,75612.18992303775,True
36081138502,Queens,Queens,5273,2509,2764,6.8,37.2,1.4,0.3,52.9,3406,75265.37750373827,True
36081021900,Queens,Queens,2039,987,1053,44.9,40.8,0.5,0.0,13.3,1354,52485.19041607998,True
36081053502,Kings,Brooklyn,4077,2007,2070,55.4,28.8,6.7,0.0,7.2,1948,50411.19563239887,True
36081001902,Queens,Queens,2816,1267,1549,43.2,19.0,14.4,0.5,20.8,1802,38791.77811252741,True
36047056302,Kings,Brooklyn,3243,1580,1663,10.4,78.2,2.2,0.3,5.1,2381,77898.4296307286,True
36047096000,Kings,Brooklyn,2599,1139,1460,6.2,2.5,87.8,0.0,1.8,1819,58700.20657678389,True
36047057901,Kings,Brooklyn,3395,1661,1734,10.9,78.2,2.1,0.3,5.3,2415,77747.68176293519,True
36047057902,Kings,Brooklyn,3437,1647,1790,8.6,82.0,2.9,0.3,4.2,2504,71767.81763037117,True
36081017101,Queens,Queens,2467,1255,1211,40.6,32.6,1.3,0.3,22.0,1378,54459.09222834294,True
36081017102,Queens,Queens,3303,1679,1624,27.2,43.8,1.8,0.1,23.8,1943,49326.61270471849,True
36061023803,New York,Manhattan,5745,2591,3154,16.7,48.9,18.4,0.4,12.4,3931,82949.28808800556,True
36061002901,New York,Manhattan,3486,1570,1915,11.7,35.6,6.4,2.0,41.1,2707,94720.87534621789,True
36061002902,New York,Manhattan,3805,1750,2055,10.6,27.1,4.8,2.2,52.0,2672,74970.1652465012,True
36085011204,Richmond,Staten Island,4769,2334,2434,17.3,70.8,2.2,0.0,8.7,3410,71015.02543210346,True
36061031900,New York,Manhattan,5186,2506,2680,9.9,66.9,1.8,0.0,18.7,3536,137482.0397757128,True
36081066404,Queens,Queens,4127,1843,2285,6.9,2.6,86.7,0.0,1.7,2640,81668.0011861872,True
36047005302,Kings,Brooklyn,4484,1844,2639,28.6,42.1,21.6,0.0,4.4,3160,56277.57539717645,True
36005051601,Bronx,Bronx,2850,1391,1459,19.2,63.2,13.9,0.0,2.8,2089,70893.88578418494,True
36005051602,Bronx,Bronx,2810,1372,1438,19.2,62.8,14.4,0.0,2.8,2057,70739.56063695834,True
36081021601,Queens,Queens,3489,1616,1873,22.6,49.0,7.0,0.0,19.0,2420,63602.49426873862,True
36061009903,New York,Manhattan,3840,1963,1877,18.2,53.0,7.3,0.3,18.7,2766,90507.3980232325,True
36081003700,Queens,Queens,1754,887,868,44.1,29.4,9.7,0.3,13.0,1064,48297.959310445956,True
36061023804,New York,Manhattan,4897,2056,2841,5.2,77.2,4.7,0.2,9.7,3905,114928.58554849315,True
36081121100,Queens,Queens,2671,1384,1286,16.8,19.1,1.7,0.0,60.5,1463,66152.15835277553,True
36047014101,Kings,Brooklyn,3387,1669,1718,25.7,56.7,6.0,0.1,7.2,2553,90716.09116149555,True
36047014102,Kings,Brooklyn,3120,1574,1545,32.1,52.5,4.5,0.1,6.9,2312,84069.64798128515,True
36061029700,New York,Manhattan,6573,3239,3334,60.5,30.0,2.8,0.0,3.1,4127,56968.011316246644,True
36085022602,Richmond,Staten Island,5779,2749,3029,7.1,87.7,0.1,0.2,3.7,4226,83492.61451219984,True
36005028400,Bronx,Bronx,3938,1802,2136,45.0,37.6,6.9,0.1,9.7,2886,49193.11395067166,True
36061002100,New York,Manhattan,5463,2591,2872,9.0,66.2,3.8,0.1,16.7,3728,157239.94625746706,True
36005011000,Bronx,Bronx,4950,2230,2719,59.2,14.6,20.0,0.0,4.1,3444,51072.43263646476,True
36085005902,Richmond,Staten Island,3395,1762,1633,25.7,47.7,17.5,0.0,7.4,2217,66086.23903477684,True
36081019903,Queens,Queens,2843,1369,1474,46.3,26.2,1.3,0.0,24.6,1689,57986.52171903463,True
36005011701,Bronx,Bronx,4731,2162,2570,59.5,0.6,37.2,0.2,1.1,2652,28283.89300170484,True
36085007002,Richmond,Staten Island,4248,2000,2248,14.9,69.6,3.3,0.0,11.0,2846,73421.00330759991,True
36081071600,Queens,Queens,3751,1711,2040,9.4,1.9,79.7,0.5,2.7,2386,63177.82977985394,True
36005018501,Bronx,Bronx,4478,1962,2516,55.0,2.6,38.1,1.1,1.8,2264,20915.011864469154,True
36005018502,Bronx,Bronx,5077,2257,2820,60.8,1.9,34.1,0.7,0.8,2750,21564.072700050096,True
